Standardized_name	HYG_sensitive	G418_sensitive	Ploidy	Mating	Ploidy_comments	CLADES
AAE	TRUE	TRUE	1	a	euploid	1. Wine/European
AAG	TRUE	FALSE	1	a	euploid	M3. Mosaic region 3
AAK	FALSE	TRUE	1	a	euploid	1. Wine/European
AAR	TRUE	FALSE	1	b	euploid	7. Mosaic beer
AAT	TRUE	FALSE	1	b	aneu;+1*1;	M3. Mosaic region 3
ABB	TRUE	FALSE	1	b	euploid	26. Asian fermentation
ABC	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABF	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABG	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABH	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABI	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABK	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ABL	FALSE	FALSE	1	b	euploid	
ABM	TRUE	FALSE	1	b	euploid	2. Alpechin
ABP	TRUE	FALSE	1	b	euploid	1. Wine/European
ABQ	TRUE	FALSE	1	b	euploid	1. Wine/European
ABR	TRUE	FALSE	1	b	euploid	1. Wine/European
ABS	TRUE	FALSE	1	b	euploid	1. Wine/European
ABT	TRUE	FALSE	1	b	euploid	1. Wine/European
ACB	TRUE	TRUE	1	b	euploid	M3. Mosaic region 3
ACC	TRUE	FALSE	1	b	euploid	21. Ecuadorean
ACD	TRUE	FALSE	1	b	euploid	23. North American oak
ACF	TRUE	TRUE	1	b	euploid	1. Wine/European
ACG	TRUE	FALSE	1	b	euploid	M1. Mosaic region 1
ACH	TRUE	FALSE	1	b	euploid	M1. Mosaic region 1
ACK	TRUE	FALSE	1	b	euploid	26. Asian fermentation
ACL	TRUE	TRUE	1	b	aneu;+1*12;	M3. Mosaic region 3
ACM	TRUE	TRUE	1	b	euploid	26. Asian fermentation
ACN	TRUE	TRUE	1	b	euploid	M3. Mosaic region 3
ACP	TRUE	FALSE	1	b	euploid	1. Wine/European
ACQ	TRUE	FALSE	1	b	euploid	18. Far East Asia
ACR	TRUE	FALSE	1	b	euploid	1. Wine/European
ACS	TRUE	FALSE	1	b	euploid	M1. Mosaic region 1
ACT	TRUE	FALSE	1	b	aneu;+1*1;	1. Wine/European
ACV	TRUE	FALSE	1	b	aneu;+1*1;	1. Wine/European
ADA	TRUE	FALSE	1	b	euploid	M3. Mosaic region 3
ADC	TRUE	FALSE	1	b	euploid	1. Wine/European
ADD	TRUE	FALSE	1	b	euploid	1. Wine/European
ADE	TRUE	FALSE	1	b	euploid	
ADF	TRUE	FALSE	1	b	euploid	13. Africanpalm wine
ADG	TRUE	FALSE	1	b	euploid	
ADH	TRUE	FALSE	1	b	euploid	26. Asian fermentation
ADI	TRUE	TRUE	1	b	euploid	1. Wine/European
ADN	TRUE	TRUE	1	a	euploid	25. Sake
ADR	TRUE	FALSE	1	b	euploid	1. Wine/European
ADT	TRUE	TRUE	1	b	euploid	M3. Mosaic region 3
ADV	TRUE	TRUE	1	b	euploid	13. Africanpalm wine
AEA	TRUE	TRUE	1	b	euploid	7. Mosaic beer
